hidden_layers_n,h1_size,h2_size,h3_size,h4_size,alpha,learning_rate_init,beta_1,beta_2,tol,source,msc,dsp,model_update_time,acquisition_time,query_time
2.0,17.0,17.0,17.0,17.0,-3.4999999533289,-4.0,-1.50218240332379,-1.50218240332379,-3.4999999533289,1.0,0.1492,0.1674,0.0,0.0,0.0
4.0,12.0,32.0,23.0,19.0,-4.26692839568158,-3.2678707872174,-0.556008985083248,-0.726499203202071,-2.08903594760836,1.0,0.15270000000000006,0.18479999999999996,0.0,0.0,0.0
2.0,7.0,22.0,23.0,26.0,-1.925030164109,-4.78741364071615,-2.14830234419914,-1.23707958156042,-3.28999149096328,1.0,0.1612,0.12770000000000004,0.0,0.0,0.0
3.0,28.0,18.0,19.0,13.0,-4.2474454940255,-2.63224176655502,-2.19324272956335,-2.08114984057184,-2.82912260187864,1.0,0.15949999999999998,0.2157,0.0,0.0,0.0
1.0,18.0,4.0,26.0,16.0,-2.04881008351868,-2.69287344303118,-1.10296669887873,-2.82581733780375,-2.27866265312152,1.0,0.15400000000000003,0.1815,0.0,0.0,0.0
3.0,17.0,2.0,32.0,23.0,-4.2367337845187,-4.34097092212278,-0.166443122646712,-0.432272742583077,-2.14129309488524,1.0,0.19479999999999997,0.13170000000000004,0.0,0.0,0.0
4.0,28.0,6.0,20.0,29.0,-3.49302577487076,-3.6632088044054,-0.0774928733594806,-1.98371058598337,-3.60198700564182,1.0,0.15900000000000003,0.20219999999999994,0.0,0.0,0.0
3.0,10.0,32.0,2.0,7.0,-4.60028012394686,-3.52976385864521,-2.8891781438664,-1.04974158259033,-3.10199768739545,1.0,0.16159999999999997,0.1683,0.0,0.0,0.0
2.0,13.0,29.0,10.0,27.0,-2.71440420606749,-2.33350600284974,-2.75864647740511,-2.01823702031791,-4.11233893159315,1.0,0.15149999999999997,0.16979999999999995,0.0,0.0,0.0
4.0,23.0,16.0,19.0,11.0,-1.04695963815459,-5.67590802962836,-1.44299579503114,-1.7053962752499,-3.16571098968136,1.0,0.24239999999999995,0.019399999999999973,0.0,0.0,0.0
3.0,15.0,18.0,28.0,11.0,-5.94553343773669,-5.57876181847643,-2.27368963132979,-1.17200647059964,-3.17217894702059,1.0,0.23170000000000002,0.04269999999999996,0.0,0.0,0.0
1.0,17.0,16.0,3.0,16.0,-2.85958643609082,-2.54010743967993,-1.41020841881621,-0.798410811945086,-2.26814364170282,2.0,0.15410000000000001,0.19599999999999995,0.0,0.0,0.0
2.0,2.0,15.0,4.0,18.0,-2.4982687526815,-3.95061697769037,-0.638365684879105,-2.69189455141289,-4.09508368301116,2.0,0.1532,0.16010000000000002,0.0,0.0,0.0
3.0,7.0,25.0,27.0,32.0,-3.93586751871212,-2.98244238488232,-1.63923330481139,-1.34037023835915,-2.37510361552824,2.0,0.15060000000000007,0.1755,0.0,0.0,0.0
2.0,18.0,20.0,26.0,23.0,-1.00540165101284,-2.24526845122631,-1.42142242532003,-2.64781397128041,-4.78905688047524,2.0,0.16259999999999997,0.20189999999999997,0.0,0.0,0.0
2.0,23.0,29.0,24.0,4.0,-3.5092877929689,-3.83885712862828,-1.80793234662635,-0.258893941292537,-3.2891749553632,2.0,0.14959999999999996,0.15390000000000004,0.0,0.0,0.0
2.0,7.0,7.0,27.0,2.0,-3.80949427206997,-2.66985010776565,-0.0204972701077945,-2.86953701746484,-3.14375103385636,2.0,0.2419,0.1995,0.0,0.0,0.0
2.0,2.0,7.0,23.0,20.0,-2.95084621294906,-2.8143149771899,-0.547047814245566,-2.10916683194276,-4.63743148130013,2.0,0.1633,0.1785,0.0,0.0,0.0
2.0,14.0,20.0,24.0,16.0,-4.36515988974495,-2.51676158411698,-0.769900274669091,-0.259369005892821,-2.85927508782203,2.0,0.14790000000000003,0.18510000000000004,0.0,0.0,0.0
1.0,12.0,20.0,18.0,7.0,-4.1598415310328,-4.52067264990028,-1.55831017721119,-1.8667538988104,-4.19204042565561,2.0,0.1502,0.15680000000000005,0.0,0.0,0.0
1.0,8.0,21.0,6.0,3.0,-1.19629681522887,-2.55403198570789,-1.29826964633062,-0.552229691963372,-3.62628292544102,2.0,0.15410000000000001,0.1854,0.0,0.0,0.0
3.0,3.0,10.0,30.0,6.0,-4.08947326193431,-3.86112374383045,-2.47294724415349,-2.19469413717729,-2.44742290004445,2.0,0.1764,0.13539999999999996,0.0,0.0,0.0
-4.073097229003906,-2.982401132583618,-2.7176132202148438,13.599102973937988,30.569164276123047,5.9296064376831055,20.73334312438965,-5.90970516204834,2.8794283866882324,-3.282242774963379,1.0,0.749187707901001,0.030055999755859375,1.8886637687683105,7.8149189949035645,14.194735765457153
-5.828117370605469,-0.9458186626434326,-0.18199467658996582,27.29445457458496,7.882001876831055,8.985332489013672,23.82819938659668,-1.3154621124267578,1.04961097240448,-3.762648582458496,2.0,0.15980350971221924,0.13957911729812622,0.6067590713500977,0.5410478115081787,41.92838525772095
-3.4319071769714355,-2.1238224506378174,-2.878812789916992,29.499128341674805,20.814546585083008,16.53789520263672,26.167367935180664,-2.8955838680267334,2.6218528747558594,-2.9749598503112793,1.0,0.15138232707977295,0.1682208776473999,0.22820568084716797,1.1456596851348877,59.52523732185364
-5.131006717681885,-1.6671931743621826,-0.07174038887023926,8.559442520141602,22.832881927490234,15.439891815185547,28.906400680541992,-2.896745204925537,3.5024912357330322,-4.558636665344238,2.0,0.15204519033432007,0.1917484998703003,0.27685070037841797,1.2087717056274414,108.75842237472534
-3.417283058166504,-0.6461246013641357,-0.7553491592407227,7.685267925262451,30.949600219726562,3.5497279167175293,18.727218627929688,-1.5583124160766602,1.6268266439437866,-2.803640365600586,2.0,0.1551622748374939,0.1910037398338318,0.2434549331665039,0.7689700126647949,9.79839015007019
-2.3815932273864746,-1.7348339557647705,-1.0432307720184326,5.329548358917236,26.257320404052734,5.1062331199646,7.351398944854736,-1.7196378707885742,2.1642279624938965,-2.4208059310913086,2.0,0.16444575786590576,0.1731778383255005,0.9492669105529785,0.9705440998077393,7.490212440490723
-1.684600830078125,-1.2931201457977295,-1.022773265838623,22.295690536499023,18.955835342407227,2.149245262145996,15.23361587524414,-2.6494176387786865,2.535557270050049,-3.989262104034424,2.0,0.15284109115600586,0.15226078033447266,1.079758644104004,1.2124216556549072,21.260850429534912
-5.111876010894775,-2.759215831756592,-0.975231409072876,25.66858673095703,28.460023880004883,22.752910614013672,11.34670639038086,-2.804924488067627,3.674257278442383,-3.558396100997925,1.0,0.15310639142990112,0.16894757747650146,1.6946425437927246,2.5520246028900146,92.06608533859253
